"unique_storm_number","sin_sdate","cos_sdate","tmax","tmin","snwd_diff"
1,0.188226709843243,0.982125605868001,7.2,-11.7,-7.0078778
3,0.478733840115788,0.877960084700888,7.2,-8.9,3.9763801
5,0.920971287716634,0.389630449530789,3.3,-9.4,-4.0157502
7,0.995918996147179,0.0902516100310421,7.2,-3.3,-2.0078751
8,0.997324973108155,0.0730951298980782,8.9,-3.3,-3.0314977
9,0.999250011239683,0.0387222808921754,7.2,-1.7,-2.0078751
11,0.99665890175417,-0.0816763953304215,10,-1,0
13,0.993256849267414,-0.1159345995955,3.9,0,0
14,0.991114063993455,-0.133014706534195,2.8,0,0
15,0.98867759023234,-0.150055398344652,2.8,-0.5,1.968505
16,0.985948149963831,-0.167051625502118,2.2,-0.5,-1.181103
18,0.976010550632369,-0.217723230396531,15.6,-3.2,-3.149608
19,0.963470548564149,-0.267814305162174,7.8,-3.8,0
22,0.863142128049912,-0.504961054721519,25,1.7,0
24,0.263665492728008,-0.964614175691243,28.3,13.3,0
26,0.179766585725562,-0.98370929377361,26.1,18.9,0
27,0.145799196919876,-0.989314203970366,30,17.2,0
28,-0.111659007121694,-0.993746580436178,28.3,19.4,0
29,-0.12874817745258,-0.99167731989929,27.2,18.3,0
35,-0.858763958275803,0.512371412128423,14.4,6.1,0
36,-0.821476553302415,0.570242292691787,12.2,-2.1,0
38,-0.699458327051648,0.71467338604296,14.4,0.6,0
39,-0.687052767223668,0.726607524768564,14.4,-2.1,0
40,0.927541683579196,0.373719714790471,11.7,-15.5,-7.086618
41,0.951056516295153,0.309016994374948,6.7,-11.6,-1.968505
42,0.956234826591905,0.292600335633349,1.1,-14.9,-1.968505
44,0.970063921851507,0.242849722095937,5,-5.5,-3.149608
47,0.995918996147179,0.0902516100310432,5,-0.5,-3.149608
48,0.997324973108155,0.0730951298980785,5,-0.5,0
53,0.982926551979983,-0.183998351657678,10,2.8,0
54,0.97961369164549,-0.200890555130635,10,2.8,0
55,0.97961369164549,-0.200890555130635,10,-4.9,1.968505
56,0.976010550632369,-0.217723230396531,3.3,-7.1,1.968505
57,0.888057322629494,-0.459732739452102,6.7,2.8,0
58,0.888057322629494,-0.459732739452102,12.2,2.8,0
59,0.880012203973536,-0.47495107206705,12.2,4.4,0
68,0.501241813445777,-0.865307254363205,30,18.3,0
69,0.486272707108691,-0.87380710361108,30,18.3,0
82,-0.806479946320943,-0.591261444863581,27.8,20,0
84,-0.903355802324684,-0.428891937912485,23.9,13.3,0
86,-0.982926551979982,-0.183998351657683,23.9,4.4,0
87,-0.98594814996383,-0.167051625502123,15,4.4,0
89,-0.999250011239684,0.0387222808921717,17.8,5,0
90,-0.977848341505657,0.209314645963048,16.7,8.9,0
92,-0.970063921851508,0.242849722095934,11.7,8.3,0
94,-0.608476870115128,0.793571608952146,9.4,-3.2,-1.181103
97,-0.25535329511619,0.966847813605277,7.2,-3.2,0
101,-0.137278772113268,0.990532452132222,6.1,0.6,0
105,0.914127988185333,0.405425728359998,11.7,-4.3,-2.755907
106,0.920971287716634,0.389630449530789,12.8,-1,-3.149608
107,0.927541683579196,0.373719714790471,13.3,-0.5,-1.181103
109,0.991114063993455,-0.133014706534195,5,2.2,0
110,0.991114063993455,-0.133014706534195,5,2.2,0
111,0.988677590232341,-0.150055398344652,10,1.7,0
115,0.70558361010718,-0.708626678264457,23.3,13.3,0
116,0.601624063224926,-0.798779372886363,25.6,12.2,0
118,0.587785252292474,-0.809016994374947,25.6,16.7,0
120,0.530730048161936,-0.84754092289283,26.7,3.9,0
122,0.393590276656467,-0.91928596971861,28.3,12.2,0
123,0.345612312670735,-0.938377391740863,21.1,13.3,0
124,0.280230675199217,-0.959932689659744,27.2,11.1,0
125,0.162807012938518,-0.986657932891657,28.3,14.4,0
127,-0.97961369164549,-0.200890555130638,21.7,9.4,0
128,-0.867456354729599,0.497513288907177,12.8,5,0
129,-0.687052767223669,0.726607524768564,14.4,1.1,0
130,-0.566701756291121,0.823923005757552,10,-7.7,0
131,-0.49377555015998,0.86958938934661,7.2,-2.1,0
135,-0.304921224656291,0.952377575730397,12.8,5,0
136,-0.304921224656291,0.952377575730397,12.8,0.6,0
138,-0.255353295116191,0.966847813605277,8.9,-3.2,0
139,-0.137278772113269,0.990532452132222,11.7,-4.9,0
140,0.758305808478561,0.651898995878715,7.8,1.1,-2.755907
141,0.769414826883936,0.63874942205153,6.7,-1.6,-3.93701
142,0.780295851070773,0.625410572985249,1.1,-3.8,-1.968505
146,0.849817091527526,0.527077708642376,5,-6.6,-1.968505
147,0.907013812802634,0.421100870796093,6.1,0,-1.181103
148,0.914127988185333,0.405425728359998,15,0,-3.149608
149,0.914127988185333,0.405425728359998,18.9,3.9,-1.968505
150,0.920971287716634,0.38963044953079,18.9,2.8,0
151,0.927541683579196,0.373719714790471,12.8,-1.6,0
153,0.951056516295153,0.309016994374948,10.6,2.8,0
154,0.9611297838723,0.276096973097471,10.6,1.1,0
155,0.995918996147179,0.0902516100310419,7.2,-4.3,-5.118113
156,0.997324973108155,0.073095129898079,12.2,1.7,-5.118113
157,0.99999073973619,0.00430353829624771,6.1,0.6,0
158,0.99999073973619,0.00430353829624771,8.9,-1,0
165,0.329408482224533,-0.944187508834198,30.6,13.9,0
167,0.263665492728009,-0.964614175691243,24.4,13.9,0
168,0.0773864792334671,-0.997001169925015,30.6,20.6,0
169,0.00860699688869101,-0.999962959116266,25,11.7,0
171,-0.924290722193092,-0.381689220266663,30.6,18.3,0
172,-0.94276114339042,-0.333468778918189,21.7,10,0
179,-0.991114063993454,-0.133014706534197,22.8,13.9,0
181,-0.991114063993454,-0.133014706534197,22.8,13.9,0
182,-0.99665890175417,-0.0816763953304256,25,11.1,0
184,-0.899630869652244,0.436651231956062,9.4,4.4,0
186,-0.523415607365552,0.852077521101308,10,6.7,0
187,-0.523415607365552,0.852077521101308,10,-0.5,0
193,0.32126966169236,0.946987753076077,2.8,0.6,0
196,0.40148798920597,0.915864288267288,6.7,1.7,-1.968505
197,0.417193602612313,0.908817637339505,6.7,0.6,-1.181103
200,0.687052767223664,0.726607524768568,4.4,-1,0
203,0.746972087696554,0.664855397964288,11.1,-2.1,0
204,0.758305808478558,0.651898995878718,13.9,3.3,0
205,0.769414826883935,0.63874942205153,13.9,0,0
206,0.780295851070775,0.625410572985247,11.7,1.1,0
207,0.790945656756774,0.611886401268728,15,1.1,0
210,0.8587639582758,0.512371412128428,5,0.6,-1.968505
211,0.867456354729596,0.497513288907182,5,-7.1,-3.149608
212,0.899630869652242,0.436651231956068,15,-0.5,-5.118113
213,0.914127988185332,0.405425728360002,15,1.7,0
214,0.992222209417932,0.124479263886793,5,1.7,0
215,0.994217906893952,0.107381346664164,3.9,1.7,0
216,0.995918996147179,0.0902516100310457,10,-0.5,0
217,0.999768501979891,0.021516097436229,11.1,0,0
219,0.997917160865393,-0.0645084494493103,16.7,3.3,0
221,0.967937783024065,-0.251190063884818,23.3,10,0
222,0.96347054856415,-0.267814305162169,23.3,7.8,0
223,0.942761143390421,-0.333468778918187,8.9,5,0
224,0.942761143390421,-0.333468778918187,15.6,3.9,0
225,0.895839290734909,-0.444378178104613,11.1,2.2,0
226,0.863142128049913,-0.504961054721518,13.3,3.9,0
227,0.863142128049913,-0.504961054721518,13.3,3.9,0
228,0.455906693508461,-0.890027576434675,27.8,14.4,0
231,0.280230675199221,-0.959932689659743,28.3,16.7,0
232,0.213520915439796,-0.976938492777182,23.3,15.6,0
233,0.213520915439796,-0.976938492777182,23.3,15.6,0
236,0.145799196919877,-0.989314203970366,25.6,15.6,0
241,-0.263665492728006,-0.964614175691244,28.3,15,0
246,0.205104499868618,0.978740079966915,8.9,-6.6,-3.149608
247,0.385663406243604,0.922639548840489,1.7,-1,0
249,0.448229341740406,0.893918596519259,7.8,-1,0
250,0.723644038295911,0.690173388242973,7.8,-8.8,-3.93701
252,0.811539059007357,0.584298173628373,3.3,-1,0
254,0.831170626365804,0.55601743665705,3.3,-2.7,0
257,0.982926551979983,-0.183998351657674,10,-1,-1.968505
259,0.97601055063237,-0.217723230396524,2.2,-4.3,7.086618
262,0.936881346295433,-0.349647455251224,13.9,-2.1,-3.93701
263,0.93072393103798,-0.365722523497268,17.2,-1.6,-5.118113
264,0.924290722193095,-0.381689220266654,18.9,-0.5,-5.118113
278,-0.84524905735306,-0.534372558280984,27.2,19.4,0
279,-0.84524905735306,-0.534372558280984,27.2,19.4,0
280,-0.854322169749825,-0.519743812155518,27.2,13.9,0
281,-0.854322169749825,-0.519743812155518,21.7,10.6,0
282,-0.903355802324682,-0.428891937912489,31.1,18.9,0
284,-0.910604630094215,-0.413278607782907,25,16.7,0
287,-0.98867759023234,-0.150055398344658,21.1,6.1,0
